1,1329869
2,234866
3,95796
4,53273
5,33654
6,23692
7,17045
8,13269
9,10395
10,8526
11,6933
12,5889
13,5075
14,4364
15,3775
16,3435
17,2949
18,2729
19,2424
20,2120
21,2060
22,1812
23,1665
24,1536
25,1374
26,1279
27,1195
28,1097
29,1054
30,974
31,939
32,896
33,763
34,765
35,726
36,632
37,670
38,633
39,578
40,568
41,515
42,491
43,505
44,451
45,421
46,443
47,377
48,413
49,369
50,354
51,343
52,302
53,310
54,296
55,339
56,282
57,282
58,265
59,270
60,272
61,266
62,228
63,213
64,237
65,231
66,211
67,206
68,199
69,183
70,179
71,169
72,154
73,171
74,142
75,134
76,174
77,166
78,171
79,123
80,146
81,155
82,126
83,153
84,107
85,135
86,110
87,124
88,116
89,121
90,85
91,98
92,120
93,107
94,100
95,100
96,106
97,91
98,87
99,114
100,104
101,102
102,99
103,108
104,86
105,91
106,81
107,80
108,75
109,70
110,76
111,92
112,75
113,69
114,70
115,52
116,57
117,57
118,63
119,70
120,59
121,65
122,53
123,62
124,50
125,66
126,53
127,53
128,57
129,57
130,56
131,60
132,53
133,50
134,60
135,58
136,38
137,56
138,54
139,44
140,39
141,51
142,40
143,38
144,38
145,52
146,40
147,37
148,47
149,45
150,52
151,37
152,48
153,42
154,40
155,41
156,38
157,41
158,28
159,40
160,28
161,26
162,30
163,32
164,46
165,35
166,34
167,27
168,46
169,36
170,41
171,30
172,33
173,18
174,37
175,29
176,26
177,25
178,32
179,22
180,31
181,20
182,24
183,29
184,29
185,27
186,24
187,26
188,26
189,26
190,22
191,20
192,20
193,23
194,24
195,22
196,25
197,20
198,15
199,26
200,22
201,25
202,22
203,15
204,24
205,17
206,13
207,20
208,19
209,20
210,21
211,16
212,25
213,21
214,18
215,24
216,20
217,22
218,12
219,27
220,16
221,22
222,13
223,21
224,24
225,11
226,20
227,25
228,16
229,13
230,18
231,19
232,21
233,27
234,20
235,20
236,17
237,14
238,18
239,19
240,25
241,22
242,13
243,12
244,21
245,25
246,11
247,12
248,16
249,22
250,16
251,10
252,13
253,17
254,11
255,11
256,14
257,15
258,11
259,12
260,20
261,14
262,16
263,10
264,8
265,15
266,15
267,18
268,13
269,12
270,9
271,7
272,15
273,10
274,8
275,8
276,17
277,15
278,10
279,8
280,9
281,10
282,11
283,11
284,9
285,18
286,8
287,11
288,14
289,15
290,3
291,10
292,10
293,10
294,15
295,4
296,10
297,17
298,7
299,7
300,13
301,12
302,9
303,10
304,8
305,12
306,13
307,7
308,13
309,7
310,6
311,9
312,11
313,8
314,10
315,10
316,12
317,10
318,6
319,11
320,6
321,7
322,11
323,5
324,2
325,7
326,8
327,8
328,9
329,14
330,10
331,5
332,6
333,5
334,9
335,14
336,4
337,11
338,6
339,5
340,5
341,12
342,8
343,9
344,9
345,5
346,11
347,7
348,7
349,6
350,3
351,5
352,5
353,7
354,5
355,6
356,2
357,6
358,10
359,4
360,7
361,8
362,5
363,6
364,5
365,2
366,6
367,4
368,3
369,10
370,4
371,11
372,4
373,8
374,2
